image_name,Type_1,Type_2,Type_3
0.jpg,1.52E-02,9.64E-01,2.08E-02
1.jpg,2.30E-03,8.57E-01,1.41E-01
2.jpg,2.26E-02,9.77E-01,1.08E-04
3.jpg,8.84E-02,9.11E-01,1.54E-04
4.jpg,3.96E-03,5.73E-02,9.39E-01
5.jpg,2.21E-02,5.53E-01,4.25E-01
6.jpg,3.32E-03,2.72E-01,7.25E-01
7.jpg,7.97E-03,9.91E-01,1.08E-03
8.jpg,1.22E-02,8.38E-01,1.50E-01
9.jpg,4.39E-04,9.98E-01,1.29E-03
10.jpg,1.23E-03,9.86E-01,1.26E-02
11.jpg,1.17E-02,9.64E-01,2.44E-02
12.jpg,1.95E-03,5.91E-03,9.92E-01
13.jpg,6.37E-02,9.29E-01,7.32E-03
14.jpg,5.64E-03,9.73E-01,2.09E-02
15.jpg,8.73E-04,9.99E-01,1.69E-04
16.jpg,1.07E-02,1.31E-01,8.58E-01
17.jpg,2.60E-03,9.85E-01,1.24E-02
18.jpg,1.03E-01,8.84E-01,1.30E-02
19.jpg,9.89E-04,4.51E-02,9.54E-01
20.jpg,1.73E-03,9.94E-01,4.01E-03
21.jpg,6.48E-04,2.15E-02,9.78E-01
22.jpg,6.36E-03,3.50E-01,6.44E-01
23.jpg,1.34E-03,2.18E-01,7.81E-01
24.jpg,8.61E-04,8.84E-02,9.11E-01
25.jpg,2.08E-04,9.53E-01,4.72E-02
26.jpg,4.66E-01,5.34E-01,1.94E-04
27.jpg,9.97E-01,3.44E-03,4.87E-05
28.jpg,4.85E-03,9.91E-01,3.80E-03
29.jpg,5.90E-02,9.34E-01,6.48E-03
30.jpg,3.68E-01,4.48E-01,1.84E-01
31.jpg,1.41E-03,5.51E-01,4.47E-01
32.jpg,1.73E-01,8.19E-01,8.85E-03
33.jpg,4.01E-03,9.81E-01,1.47E-02
34.jpg,1.88E-02,9.13E-01,6.83E-02
35.jpg,3.56E-04,2.11E-01,7.88E-01
36.jpg,1.64E-02,1.14E-01,8.69E-01
37.jpg,7.96E-04,9.83E-01,1.62E-02
38.jpg,2.55E-03,1.51E-01,8.46E-01
39.jpg,3.48E-04,9.98E-01,1.82E-03
40.jpg,7.75E-03,5.04E-01,4.88E-01
41.jpg,2.53E-04,1.00E+00,1.11E-04
42.jpg,1.08E-02,6.79E-01,3.10E-01
43.jpg,2.44E-03,9.07E-01,9.09E-02
44.jpg,4.53E-02,4.94E-01,4.61E-01
45.jpg,8.98E-02,9.07E-01,3.10E-03
46.jpg,2.88E-02,9.47E-01,2.38E-02
47.jpg,2.09E-02,9.70E-01,8.97E-03
48.jpg,9.35E-04,7.15E-01,2.84E-01
49.jpg,7.79E-04,1.67E-02,9.83E-01
50.jpg,8.65E-01,1.35E-01,3.17E-04
51.jpg,1.53E-04,9.12E-01,8.79E-02
52.jpg,9.07E-01,5.60E-02,3.66E-02
53.jpg,4.43E-03,9.93E-01,2.60E-03
54.jpg,7.89E-02,6.08E-01,3.13E-01
55.jpg,6.92E-04,1.38E-02,9.85E-01
56.jpg,1.34E-02,9.15E-01,7.17E-02
57.jpg,1.19E-03,3.71E-01,6.28E-01
58.jpg,1.56E-03,9.28E-01,7.06E-02
59.jpg,1.06E-03,9.60E-01,3.86E-02
60.jpg,7.58E-04,1.84E-01,8.16E-01
61.jpg,1.22E-03,4.11E-01,5.88E-01
62.jpg,1.45E-01,8.55E-01,6.69E-04
63.jpg,4.90E-04,9.97E-01,2.26E-03
64.jpg,6.14E-02,9.24E-01,1.44E-02
65.jpg,9.97E-05,6.23E-01,3.77E-01
66.jpg,9.06E-04,9.98E-01,6.05E-04
67.jpg,1.09E-02,9.69E-01,2.05E-02
68.jpg,5.24E-05,1.00E+00,6.74E-05
69.jpg,9.58E-01,4.10E-02,7.24E-04
70.jpg,8.58E-04,9.98E-01,1.04E-03
71.jpg,1.56E-02,5.99E-01,3.85E-01
72.jpg,3.06E-03,3.87E-01,6.10E-01
73.jpg,3.19E-04,3.38E-04,9.99E-01
74.jpg,2.85E-04,2.43E-01,7.56E-01
75.jpg,1.08E-04,9.99E-01,1.15E-03
76.jpg,1.20E-02,9.82E-01,5.60E-03
77.jpg,3.24E-02,9.66E-01,1.13E-03
78.jpg,1.77E-03,7.62E-01,2.37E-01
