image_name,Type_1,Type_2,Type_3
0.jpg,0.0769667,0.614431,0.308602
1.jpg,0.0705388,0.579488,0.349974
2.jpg,0.10736,0.64796,0.244679
3.jpg,0.0698322,0.604636,0.325531
4.jpg,0.0685823,0.583433,0.347985
5.jpg,0.0822584,0.569564,0.348178
6.jpg,0.0583074,0.604126,0.337566
7.jpg,0.0674672,0.547221,0.385312
8.jpg,0.114153,0.610585,0.275262
9.jpg,0.0958611,0.597577,0.306561
10.jpg,0.0946493,0.599203,0.306147
11.jpg,0.0748778,0.536105,0.389017
12.jpg,0.0662401,0.582429,0.351331
13.jpg,0.0539658,0.547617,0.398417
14.jpg,0.0640645,0.55994,0.375995
15.jpg,0.0762187,0.566567,0.357214
16.jpg,0.0533744,0.513115,0.433511
17.jpg,0.0533319,0.616653,0.330015
18.jpg,0.071652,0.565287,0.363061
19.jpg,0.0634685,0.525264,0.411267
20.jpg,0.0875306,0.559347,0.353123
21.jpg,0.0933771,0.596077,0.310545
22.jpg,0.0686762,0.55987,0.371453
23.jpg,0.0587914,0.591361,0.349848
24.jpg,0.0673569,0.590248,0.342395
25.jpg,0.0783508,0.588612,0.333037
26.jpg,0.0909081,0.581728,0.327364
27.jpg,0.0935659,0.60351,0.302925
28.jpg,0.0828911,0.607221,0.309887
29.jpg,0.0801452,0.571641,0.348214
30.jpg,0.0610683,0.602686,0.336245
31.jpg,0.0694822,0.526539,0.403979
32.jpg,0.0672661,0.484672,0.448062
33.jpg,0.055231,0.533333,0.411436
34.jpg,0.0461041,0.535074,0.418822
35.jpg,0.118756,0.600226,0.281018
36.jpg,0.0869831,0.624145,0.288872
37.jpg,0.161497,0.571082,0.267421
38.jpg,0.0758048,0.572595,0.3516
39.jpg,0.0820203,0.593936,0.324044
40.jpg,0.0779845,0.486496,0.43552
41.jpg,0.0823685,0.590607,0.327024
42.jpg,0.102812,0.571257,0.325931
43.jpg,0.0974941,0.577507,0.324999
44.jpg,0.0557531,0.613494,0.330753
45.jpg,0.0928907,0.584644,0.322466
46.jpg,0.05762,0.557504,0.384876
47.jpg,0.133634,0.625407,0.240958
48.jpg,0.0658455,0.620175,0.31398
49.jpg,0.0913965,0.557392,0.351211
50.jpg,0.0662813,0.557832,0.375887
51.jpg,0.101615,0.571192,0.327193
52.jpg,0.0840166,0.592973,0.32301
53.jpg,0.059129,0.563617,0.377254
54.jpg,0.061131,0.567983,0.370886
55.jpg,0.0565512,0.529126,0.414323
56.jpg,0.0631052,0.543581,0.393313
57.jpg,0.105533,0.570024,0.324443
58.jpg,0.0459764,0.5122,0.441824
59.jpg,0.0969426,0.532024,0.371033
60.jpg,0.0655639,0.607882,0.326554
61.jpg,0.140198,0.629537,0.230264
62.jpg,0.0551145,0.516002,0.428884
63.jpg,0.0950674,0.585417,0.319515
64.jpg,0.136756,0.592933,0.270311
65.jpg,0.226081,0.594527,0.179391
66.jpg,0.130311,0.451497,0.418193
67.jpg,0.0605686,0.614201,0.32523
68.jpg,0.0883496,0.606556,0.305094
69.jpg,0.0867385,0.614084,0.299178
70.jpg,0.0599046,0.570181,0.369914
71.jpg,0.0862458,0.523258,0.390496
72.jpg,0.118765,0.648614,0.232621
73.jpg,0.0661428,0.599833,0.334024
74.jpg,0.0664449,0.583566,0.349989
75.jpg,0.107277,0.59919,0.293533
76.jpg,0.0959536,0.579371,0.324675
77.jpg,0.0477565,0.589841,0.362402
78.jpg,0.0585381,0.530595,0.410867
79.jpg,0.0869553,0.599321,0.313724
80.jpg,0.103112,0.603286,0.293602
81.jpg,0.0516628,0.538363,0.409974
82.jpg,0.11617,0.644216,0.239614
83.jpg,0.052792,0.585941,0.361267
84.jpg,0.0667542,0.56113,0.372116
85.jpg,0.078247,0.590429,0.331324
86.jpg,0.0536533,0.562424,0.383923
87.jpg,0.0643702,0.621244,0.314386
88.jpg,0.100619,0.636936,0.262445
89.jpg,0.0605626,0.60688,0.332558
90.jpg,0.0819444,0.57749,0.340565
91.jpg,0.103783,0.607322,0.288895
92.jpg,0.0759529,0.547598,0.376449
93.jpg,0.0945945,0.558651,0.346755
94.jpg,0.126455,0.645516,0.228028
