image_name,Type_1,Type_2,Type_3
0.jpg,0.170041,0.398905,0.431053
1.jpg,0.611406,0.125075,0.263519
2.jpg,0.580578,0.21959,0.199832
3.jpg,0.478159,0.185842,0.335999
4.jpg,0.554574,0.198969,0.246457
5.jpg,0.78424,0.0181621,0.197598
6.jpg,0.648182,0.161785,0.190033
7.jpg,0.318068,0.367017,0.314915
8.jpg,0.47835,0.299857,0.221793
9.jpg,0.576948,0.223275,0.199777
10.jpg,0.601053,0.0992206,0.299727
11.jpg,0.447497,0.324709,0.227794
12.jpg,0.384375,0.332745,0.28288
13.jpg,0.4731,0.310764,0.216137
14.jpg,0.556204,0.257466,0.186329
15.jpg,0.674056,0.0311542,0.29479
16.jpg,0.625005,0.143349,0.231647
17.jpg,0.261903,0.385226,0.352871
18.jpg,0.511223,0.316239,0.172538
19.jpg,0.792782,0.0154868,0.191732
20.jpg,0.700811,0.00428331,0.294906
21.jpg,0.680666,0.0101471,0.309187
22.jpg,0.291202,0.369586,0.339212
23.jpg,0.451394,0.301233,0.247372
24.jpg,0.398336,0.348037,0.253627
25.jpg,0.476622,0.290039,0.233339
26.jpg,0.745629,0.0223681,0.232002
27.jpg,0.561291,0.157163,0.281546
28.jpg,0.64515,0.178104,0.176746
29.jpg,0.427258,0.319762,0.25298
30.jpg,0.383714,0.315256,0.301031
31.jpg,0.541414,0.22075,0.237835
32.jpg,0.301575,0.400998,0.297427
33.jpg,0.390007,0.366476,0.243518
34.jpg,0.306089,0.427006,0.266905
35.jpg,0.594991,0.185621,0.219388
36.jpg,0.562854,0.174538,0.262609
37.jpg,0.569932,0.194211,0.235857
38.jpg,0.534536,0.285761,0.179704
39.jpg,0.696225,0.0777912,0.225984
40.jpg,0.132799,0.361065,0.506137
41.jpg,0.786717,0.0299213,0.183361
42.jpg,0.583913,0.145028,0.271059
43.jpg,0.469559,0.303447,0.226993
44.jpg,0.479505,0.270166,0.25033
45.jpg,0.512283,0.235632,0.252085
46.jpg,0.360713,0.378257,0.26103
47.jpg,0.707903,0.0814812,0.210616
48.jpg,0.595367,0.123817,0.280816
49.jpg,0.237054,0.386947,0.375999
50.jpg,0.556301,0.233849,0.20985
51.jpg,0.681524,0.107033,0.211443
52.jpg,0.706725,0.0635675,0.229707
53.jpg,0.721897,0.104736,0.173367
54.jpg,0.698579,0.111194,0.190227
55.jpg,0.141011,0.349679,0.50931
56.jpg,0.746632,0.000298458,0.25307
57.jpg,0.389427,0.32574,0.284833
58.jpg,0.18103,0.365625,0.453344
59.jpg,0.829382,0.0154,0.155218
60.jpg,0.473471,0.320043,0.206487
61.jpg,0.602259,0.169929,0.227812
62.jpg,0.152386,0.368288,0.479327
63.jpg,0.605265,0.173746,0.220989
64.jpg,0.626227,0.148585,0.225188
65.jpg,0.396965,0.302931,0.300104
66.jpg,0.274733,0.333092,0.392175
67.jpg,0.524172,0.24661,0.229218
68.jpg,0.617263,0.173525,0.209211
69.jpg,0.135055,0.350119,0.514826
70.jpg,0.521512,0.287512,0.190976
71.jpg,0.219628,0.402928,0.377444
72.jpg,0.51133,0.23153,0.25714
73.jpg,0.35525,0.407045,0.237705
74.jpg,0.476336,0.284544,0.23912
75.jpg,0.591437,0.131894,0.276669
76.jpg,0.363591,0.431566,0.204843
77.jpg,0.493517,0.310867,0.195617
78.jpg,0.716972,0.0894875,0.193541
79.jpg,0.746828,0.0500346,0.203138
80.jpg,0.524569,0.262647,0.212784
81.jpg,0.311373,0.409413,0.279214
82.jpg,0.707449,0.0645333,0.228017
83.jpg,0.125223,0.415592,0.459185
84.jpg,0.117829,0.350808,0.531363
85.jpg,0.488772,0.295126,0.216102
86.jpg,0.205735,0.389139,0.405126
87.jpg,0.177282,0.391441,0.431277
88.jpg,0.530469,0.246472,0.223059
89.jpg,0.141408,0.385155,0.473437
90.jpg,0.715773,0.0465442,0.237683
91.jpg,0.698007,0.0942741,0.207719
92.jpg,0.638934,0.0735334,0.287533
93.jpg,0.550622,0.214195,0.235183
94.jpg,0.59861,0.166771,0.23462
95.jpg,0.558077,0.245906,0.196017
96.jpg,0.850805,0.0202436,0.128951
97.jpg,0.307909,0.397601,0.29449
98.jpg,0.411382,0.219394,0.369223
99.jpg,0.5073,0.118657,0.374043
100.jpg,0.60273,0.149687,0.247582
101.jpg,0.405327,0.363226,0.231447
102.jpg,0.11062,0.329304,0.560076
103.jpg,0.248356,0.451843,0.299801
104.jpg,0.715697,0.111985,0.172318
105.jpg,0.32841,0.402066,0.269524
106.jpg,0.465914,0.300965,0.233122
107.jpg,0.778417,0.0284989,0.193084
108.jpg,0.515851,0.280043,0.204106
109.jpg,0.501418,0.272509,0.226073
110.jpg,0.637729,0.149905,0.212367
111.jpg,0.144982,0.332863,0.522155
112.jpg,0.62979,0.137417,0.232793
113.jpg,0.595464,0.216581,0.187956
114.jpg,0.381469,0.353889,0.264642
115.jpg,0.664096,0.183679,0.152226
116.jpg,0.412075,0.334351,0.253573
117.jpg,0.573173,0.223169,0.203658
118.jpg,0.569384,0.236579,0.194036
