image_name,Type_1,Type_2,Type_3
0.jpg,0.081657,0.246813,0.67153
1.jpg,0.0896736,0.24817,0.662157
2.jpg,0.147155,0.228704,0.624141
3.jpg,0.07892,0.261082,0.659998
4.jpg,0.0603855,0.219555,0.72006
5.jpg,0.235118,0.272696,0.492186
6.jpg,0.317211,0.345295,0.337494
7.jpg,0.0615501,0.283389,0.655061
8.jpg,0.0819532,0.191057,0.72699
9.jpg,0.150091,0.230495,0.619414
10.jpg,0.140342,0.290402,0.569256
11.jpg,0.120579,0.235594,0.643827
12.jpg,0.0550577,0.203254,0.741688
13.jpg,0.0646212,0.196344,0.739035
14.jpg,0.124094,0.289062,0.586844
15.jpg,0.0770415,0.228108,0.69485
16.jpg,0.0806851,0.24875,0.670565
17.jpg,0.0764177,0.204722,0.71886
18.jpg,0.238482,0.304426,0.457093
19.jpg,0.0785847,0.201617,0.719799
20.jpg,0.399077,0.292961,0.307961
21.jpg,0.134522,0.28629,0.579188
22.jpg,0.0553564,0.180443,0.764201
23.jpg,0.0837301,0.204583,0.711686
24.jpg,0.104289,0.26274,0.632971
25.jpg,0.0927969,0.203687,0.703516
26.jpg,0.222038,0.279746,0.498216
27.jpg,0.0679637,0.217213,0.714824
28.jpg,0.0990236,0.197962,0.703015
29.jpg,0.132417,0.255713,0.61187
30.jpg,0.0663243,0.192956,0.74072
31.jpg,0.136614,0.237325,0.62606
32.jpg,0.119976,0.270153,0.609871
33.jpg,0.0710274,0.197922,0.731051
34.jpg,0.0580817,0.194536,0.747382
35.jpg,0.119627,0.214142,0.666231
36.jpg,0.0631445,0.188577,0.748279
37.jpg,0.42011,0.285204,0.294686
38.jpg,0.116318,0.262882,0.620799
39.jpg,0.0779722,0.213324,0.708704
40.jpg,0.0777891,0.177667,0.744543
41.jpg,0.0746383,0.23063,0.694732
42.jpg,0.0727408,0.277357,0.649902
43.jpg,0.0603978,0.187042,0.75256
44.jpg,0.0774132,0.221325,0.701262
45.jpg,0.0595128,0.221481,0.719006
46.jpg,0.0669884,0.240933,0.692078
47.jpg,0.136772,0.254595,0.608634
