image_name,Type_1,Type_2,Type_3
0.jpg,0.514484,0.189773,0.295743
1.jpg,0.99736,0.00251649,0.000123835
2.jpg,0.999989,7.02302e-06,4.1752e-06
3.jpg,0.792004,0.170588,0.0374074
4.jpg,0.999891,8.44683e-05,2.40215e-05
5.jpg,1.0,1.44339e-09,2.18137e-10
6.jpg,0.97198,0.0279563,6.34896e-05
7.jpg,0.929767,0.0535964,0.016637
8.jpg,0.997773,0.000117833,0.00210866
9.jpg,0.999992,4.40618e-06,3.34988e-06
10.jpg,0.998928,0.00103914,3.271e-05
11.jpg,0.999845,0.000154127,9.72634e-07
12.jpg,0.999662,0.000145381,0.000192748
13.jpg,0.999902,9.42551e-05,3.84637e-06
14.jpg,0.984623,0.0140788,0.00129818
15.jpg,0.999944,5.48288e-05,6.92351e-07
16.jpg,0.999953,3.87205e-05,7.96823e-06
17.jpg,0.782902,0.121051,0.0960466
18.jpg,0.99834,0.00162569,3.39218e-05
19.jpg,1.0,1.44094e-11,1.37968e-10
20.jpg,0.999978,2.17835e-05,2.52478e-08
21.jpg,0.999871,0.000128403,8.44361e-07
22.jpg,0.999884,8.15617e-06,0.000107648
23.jpg,0.992414,0.00244176,0.00514396
24.jpg,0.998637,0.00124505,0.000117851
25.jpg,0.998678,0.00105503,0.00026661
26.jpg,1.0,2.69505e-08,3.75187e-09
27.jpg,0.99753,0.000674004,0.001796
28.jpg,0.999999,3.98524e-07,2.09483e-07
29.jpg,0.954445,0.0245823,0.0209729
30.jpg,0.978026,0.0112462,0.0107276
31.jpg,0.999993,6.57296e-06,7.8912e-07
32.jpg,0.99837,0.0015826,4.71942e-05
33.jpg,0.999949,4.2475e-05,8.71039e-06
34.jpg,0.996659,0.00279892,0.000541821
35.jpg,0.998856,0.00103132,0.000113079
36.jpg,0.999919,5.74195e-05,2.325e-05
37.jpg,0.999196,0.000680037,0.000123793
38.jpg,0.995607,0.00350563,0.000887363
39.jpg,0.999999,3.81481e-07,8.34905e-07
40.jpg,1.0,1.23068e-09,8.7153e-10
41.jpg,0.999999,5.77263e-07,5.34861e-07
42.jpg,0.998851,0.000968373,0.000180371
43.jpg,0.995942,0.000297387,0.00376037
44.jpg,0.998497,0.000928543,0.000574301
45.jpg,0.999507,8.03725e-05,0.000412388
46.jpg,0.224129,0.734774,0.0410972
47.jpg,0.999923,7.37666e-05,2.80397e-06
48.jpg,0.998318,0.000859496,0.000822106
49.jpg,0.06615,0.638106,0.295744
50.jpg,0.999999,4.58025e-07,2.00316e-07
51.jpg,0.999936,6.27488e-05,1.05483e-06
52.jpg,0.999985,3.88333e-06,1.09288e-05
53.jpg,0.999984,1.09034e-05,5.63702e-06
54.jpg,0.998407,0.00157918,1.38151e-05
55.jpg,0.0194593,0.661234,0.319307
56.jpg,1.0,3.70255e-11,1.33239e-11
57.jpg,0.621079,0.299225,0.0796964
58.jpg,0.998452,0.00111768,0.000429865
59.jpg,0.999167,0.000831769,1.03113e-06
60.jpg,0.75692,0.235632,0.00744849
61.jpg,0.999968,1.34879e-05,1.82301e-05
62.jpg,0.998147,0.00175016,0.000102894
63.jpg,0.999915,3.56069e-05,4.95893e-05
64.jpg,0.999951,4.575e-05,3.23997e-06
65.jpg,0.477205,0.310947,0.211848
66.jpg,0.0529915,0.696244,0.250765
67.jpg,0.999554,0.000276643,0.000169339
68.jpg,0.999951,5.07136e-06,4.37353e-05
69.jpg,0.971555,0.0259734,0.00247139
70.jpg,0.999857,9.65344e-05,4.66649e-05
71.jpg,0.99724,0.00274726,1.27592e-05
72.jpg,0.996573,0.00134225,0.00208521
73.jpg,0.997504,0.00106528,0.00143052
74.jpg,0.997997,0.00192259,8.067e-05
75.jpg,0.999983,1.01855e-05,6.41463e-06
76.jpg,0.110465,0.66574,0.223795
77.jpg,0.946288,0.050883,0.0028295
78.jpg,0.988318,0.0116269,5.47526e-05
79.jpg,1.0,2.7188e-07,1.9277e-08
80.jpg,0.999277,0.000583779,0.000139051
81.jpg,0.997434,0.00244267,0.000123382
82.jpg,0.999993,4.83167e-06,2.56066e-06
83.jpg,0.930475,0.0519324,0.0175928
84.jpg,0.970062,0.0203702,0.00956739
85.jpg,0.999968,8.67001e-06,2.35914e-05
86.jpg,0.999992,1.41546e-06,6.87349e-06
87.jpg,0.78156,0.10924,0.1092
88.jpg,0.999978,4.48747e-06,1.70082e-05
