image_name,Type_1,Type_2,Type_3
0.jpg,0.137237,0.475934,0.386829
1.jpg,0.134149,0.474698,0.391154
2.jpg,0.241435,0.574689,0.183876
3.jpg,0.128309,0.469342,0.402349
4.jpg,0.136779,0.478764,0.384457
5.jpg,0.250827,0.55431,0.194863
6.jpg,0.344829,0.580286,0.074885
7.jpg,0.109306,0.453631,0.437063
8.jpg,0.181884,0.542449,0.275667
9.jpg,0.173564,0.517189,0.309248
10.jpg,0.233283,0.575612,0.191105
11.jpg,0.138216,0.477887,0.383898
12.jpg,0.138946,0.481073,0.379981
13.jpg,0.142669,0.483729,0.373603
14.jpg,0.141045,0.483709,0.375246
15.jpg,0.137247,0.478661,0.384091
16.jpg,0.169662,0.52208,0.308258
17.jpg,0.15487,0.502151,0.342979
18.jpg,0.280099,0.574132,0.145769
19.jpg,0.140391,0.481485,0.378124
20.jpg,0.300622,0.530432,0.168946
21.jpg,0.25949,0.594724,0.145786
22.jpg,0.140916,0.481068,0.378016
23.jpg,0.131304,0.471302,0.397394
24.jpg,0.144337,0.485007,0.370656
25.jpg,0.138877,0.47635,0.384773
26.jpg,0.257295,0.56942,0.173285
27.jpg,0.135671,0.477914,0.386416
28.jpg,0.177344,0.530852,0.291804
29.jpg,0.154692,0.510259,0.335049
30.jpg,0.136835,0.478385,0.38478
31.jpg,0.226382,0.579042,0.194576
32.jpg,0.149394,0.49204,0.358567
33.jpg,0.142028,0.482364,0.375609
34.jpg,0.140752,0.480893,0.378355
35.jpg,0.196659,0.564452,0.238889
36.jpg,0.184451,0.542537,0.273012
37.jpg,0.239348,0.51661,0.244042
38.jpg,0.150921,0.491655,0.357424
39.jpg,0.136282,0.477326,0.386392
40.jpg,0.143411,0.48432,0.372269
41.jpg,0.1395,0.482588,0.377911
42.jpg,0.122891,0.465481,0.411628
43.jpg,0.133618,0.474878,0.391504
44.jpg,0.144574,0.485148,0.370278
45.jpg,0.138611,0.481166,0.380222
46.jpg,0.120943,0.469508,0.409549
47.jpg,0.243628,0.544708,0.211664
48.jpg,0.138496,0.480991,0.380513
49.jpg,0.116596,0.452539,0.430865
50.jpg,0.141686,0.482885,0.375429
51.jpg,0.247468,0.482995,0.269537
52.jpg,0.134342,0.474672,0.390986
53.jpg,0.13319,0.474791,0.39202
54.jpg,0.142443,0.483923,0.373634
55.jpg,0.121734,0.463594,0.414671
56.jpg,0.143196,0.484125,0.372678
57.jpg,0.132013,0.482126,0.385862
58.jpg,0.142239,0.480735,0.377026
59.jpg,0.353859,0.513381,0.132759
60.jpg,0.240288,0.566214,0.193498
61.jpg,0.257896,0.581101,0.161003
62.jpg,0.132544,0.468764,0.398692
63.jpg,0.153547,0.507955,0.338499
64.jpg,0.2255,0.478849,0.295651
65.jpg,0.278238,0.500125,0.221638
66.jpg,0.099915,0.4,0.500085
67.jpg,0.132523,0.472212,0.395265
68.jpg,0.141115,0.482491,0.376394
69.jpg,0.180602,0.538355,0.281043
70.jpg,0.187909,0.548909,0.263182
71.jpg,0.132785,0.469699,0.397516
72.jpg,0.243685,0.590134,0.166181
73.jpg,0.138537,0.479989,0.381474
74.jpg,0.139032,0.478787,0.382181
75.jpg,0.182728,0.525666,0.291606
76.jpg,0.118908,0.452325,0.428767
77.jpg,0.149459,0.493829,0.356712
78.jpg,0.130995,0.471031,0.397974
79.jpg,0.277142,0.555081,0.167777
80.jpg,0.150435,0.489847,0.359718
81.jpg,0.14856,0.490786,0.360655
82.jpg,0.231958,0.552611,0.21543
83.jpg,0.14117,0.483369,0.375461
84.jpg,0.140481,0.485624,0.373895
85.jpg,0.19702,0.522179,0.280801
86.jpg,0.142032,0.483341,0.374627
87.jpg,0.132633,0.47324,0.394127
88.jpg,0.285607,0.577595,0.136798
89.jpg,0.137917,0.480206,0.381877
90.jpg,0.143856,0.485936,0.370208
91.jpg,0.282978,0.60714,0.109881
92.jpg,0.126717,0.463523,0.40976
93.jpg,0.144378,0.486325,0.369296
94.jpg,0.215351,0.564267,0.220383
95.jpg,0.147162,0.496254,0.356585
96.jpg,0.24034,0.57715,0.182511
97.jpg,0.130112,0.467916,0.401971
98.jpg,0.301751,0.599585,0.0986645
99.jpg,0.13079,0.472559,0.396652
100.jpg,0.184431,0.532459,0.28311
101.jpg,0.189987,0.549794,0.260219
102.jpg,0.121072,0.463102,0.415826
103.jpg,0.146502,0.495421,0.358076
104.jpg,0.143894,0.487228,0.368878
105.jpg,0.137914,0.479738,0.382347
106.jpg,0.173457,0.528791,0.297752
107.jpg,0.139008,0.480215,0.380777
108.jpg,0.113978,0.446458,0.439564
109.jpg,0.131529,0.472721,0.39575
110.jpg,0.148576,0.491275,0.360149
111.jpg,0.141432,0.48345,0.375119
112.jpg,0.139197,0.480925,0.379878
113.jpg,0.174779,0.535255,0.289966
114.jpg,0.134627,0.47686,0.388512
115.jpg,0.135919,0.478249,0.385831
116.jpg,0.11203,0.43758,0.45039
117.jpg,0.140405,0.472085,0.38751
118.jpg,0.135977,0.477299,0.386725
119.jpg,0.128682,0.390377,0.48094
120.jpg,0.171067,0.531517,0.297415
121.jpg,0.141026,0.480705,0.378269
122.jpg,0.134418,0.475968,0.389615
123.jpg,0.21167,0.545828,0.242502
124.jpg,0.137974,0.480075,0.381951
125.jpg,0.13381,0.47351,0.39268
126.jpg,0.169302,0.531333,0.299364
127.jpg,0.143042,0.487648,0.36931
128.jpg,0.282285,0.58857,0.129145
129.jpg,0.234872,0.576276,0.188851
130.jpg,0.192777,0.573755,0.233468
131.jpg,0.140718,0.482343,0.37694
132.jpg,0.207157,0.560168,0.232675
133.jpg,0.134576,0.473098,0.392326
134.jpg,0.186777,0.53548,0.277743
135.jpg,0.139655,0.483491,0.376854
136.jpg,0.198581,0.566198,0.235222
137.jpg,0.150868,0.496584,0.352548
138.jpg,0.112205,0.4441,0.443694
139.jpg,0.303271,0.575745,0.120984
140.jpg,0.145887,0.489894,0.364219
141.jpg,0.132025,0.472181,0.395794
142.jpg,0.341432,0.535627,0.122941
143.jpg,0.134642,0.475357,0.390002
144.jpg,0.254332,0.597076,0.148592
145.jpg,0.152794,0.495435,0.351771
146.jpg,0.227075,0.580146,0.192779
147.jpg,0.166238,0.519643,0.314118
148.jpg,0.206469,0.546779,0.246751
149.jpg,0.135973,0.463671,0.400356
150.jpg,0.294212,0.586155,0.119633
151.jpg,0.142148,0.483324,0.374529
152.jpg,0.142012,0.485259,0.372729
153.jpg,0.133184,0.47398,0.392835
154.jpg,0.304698,0.534178,0.161124
155.jpg,0.204717,0.531272,0.264011
156.jpg,0.130826,0.470589,0.398585
157.jpg,0.185429,0.538444,0.276127
158.jpg,0.131013,0.493134,0.375853
159.jpg,0.183961,0.533547,0.282492
160.jpg,0.224517,0.55572,0.219762
161.jpg,0.12043,0.458839,0.420732
162.jpg,0.137329,0.479144,0.383527
163.jpg,0.235611,0.567232,0.197157
164.jpg,0.137297,0.479548,0.383155
165.jpg,0.357887,0.548337,0.0937753
166.jpg,0.162376,0.405785,0.431839
167.jpg,0.124528,0.460283,0.415189
168.jpg,0.186448,0.498565,0.314987
169.jpg,0.263803,0.581233,0.154964
170.jpg,0.129573,0.464414,0.406012
171.jpg,0.141752,0.482778,0.37547
172.jpg,0.116229,0.434734,0.449037
173.jpg,0.138808,0.480538,0.380654
174.jpg,0.176147,0.512519,0.311334
175.jpg,0.143157,0.484213,0.37263
