image_name,Type_1,Type_2,Type_3
0.jpg,0.120553,0.389067,0.49038
1.jpg,0.0691524,0.356395,0.574453
2.jpg,0.156934,0.469797,0.373268
3.jpg,0.18439,0.39303,0.42258
4.jpg,0.0886096,0.381547,0.529844
5.jpg,0.135986,0.451007,0.413008
6.jpg,0.174093,0.470963,0.354944
7.jpg,0.133663,0.409047,0.45729
8.jpg,0.330981,0.604048,0.0649706
9.jpg,0.134253,0.406854,0.458893
10.jpg,0.191667,0.395727,0.412606
11.jpg,0.101423,0.410264,0.488313
12.jpg,0.0922637,0.389383,0.518354
13.jpg,0.0927167,0.377799,0.529485
14.jpg,0.10445,0.356136,0.539414
15.jpg,0.0938241,0.370783,0.535393
16.jpg,0.143823,0.382613,0.473564
17.jpg,0.159867,0.453255,0.386878
18.jpg,0.204038,0.47453,0.321432
19.jpg,0.0786932,0.374964,0.546342
20.jpg,0.421136,0.430054,0.14881
21.jpg,0.191644,0.445752,0.362604
22.jpg,0.0889151,0.394831,0.516254
23.jpg,0.121381,0.389677,0.488942
24.jpg,0.115091,0.357413,0.527496
25.jpg,0.118363,0.374777,0.50686
26.jpg,0.14127,0.420625,0.438105
27.jpg,0.0952588,0.394571,0.51017
28.jpg,0.110222,0.406971,0.482807
29.jpg,0.124434,0.395271,0.480295
30.jpg,0.122331,0.384883,0.492787
31.jpg,0.132193,0.48628,0.381527
32.jpg,0.107831,0.456611,0.435558
33.jpg,0.0905538,0.371781,0.537666
34.jpg,0.0835193,0.366952,0.549529
35.jpg,0.115247,0.478334,0.406419
36.jpg,0.116799,0.715301,0.1679
37.jpg,0.277707,0.45054,0.271753
38.jpg,0.0459716,0.352457,0.601571
39.jpg,0.0951113,0.392497,0.512392
40.jpg,0.0818008,0.380399,0.5378
41.jpg,0.0751842,0.371936,0.55288
42.jpg,0.0959193,0.397653,0.506428
43.jpg,0.0998065,0.390642,0.509551
44.jpg,0.0886923,0.368991,0.542317
45.jpg,0.0965232,0.395043,0.508434
46.jpg,0.151385,0.443593,0.405023
47.jpg,0.453139,0.457923,0.0889381
48.jpg,0.106507,0.395787,0.497706
49.jpg,0.110576,0.382513,0.506911
50.jpg,0.0749124,0.363783,0.561305
51.jpg,0.637991,0.298912,0.0630966
52.jpg,0.0955315,0.395043,0.509425
53.jpg,0.0876163,0.378433,0.53395
54.jpg,0.103901,0.355859,0.54024
55.jpg,0.0657369,0.372963,0.5613
56.jpg,0.0840442,0.368783,0.547173
57.jpg,0.151096,0.393208,0.455696
58.jpg,0.0678994,0.318183,0.613917
59.jpg,0.343061,0.435005,0.221934
60.jpg,0.266232,0.520606,0.213162
61.jpg,0.163367,0.428025,0.408608
62.jpg,0.0936136,0.369349,0.537037
63.jpg,0.106949,0.395185,0.497865
64.jpg,0.36259,0.401565,0.235845
65.jpg,0.569835,0.357318,0.0728463
66.jpg,0.235939,0.388813,0.375248
67.jpg,0.103551,0.396337,0.500112
68.jpg,0.0840303,0.38573,0.530239
69.jpg,0.20289,0.505903,0.291208
70.jpg,0.120578,0.493708,0.385714
71.jpg,0.10704,0.358375,0.534585
72.jpg,0.288055,0.576833,0.135112
73.jpg,0.0917644,0.38472,0.523516
74.jpg,0.0715901,0.316698,0.611711
75.jpg,0.360858,0.515452,0.12369
76.jpg,0.0589634,0.325059,0.615977
77.jpg,0.123327,0.38909,0.487583
78.jpg,0.128682,0.391438,0.47988
79.jpg,0.165091,0.471851,0.363057
80.jpg,0.135167,0.403187,0.461646
81.jpg,0.0836922,0.370111,0.546197
82.jpg,0.148982,0.486132,0.364886
83.jpg,0.0941091,0.391609,0.514282
84.jpg,0.32247,0.461777,0.215753
85.jpg,0.204139,0.417304,0.378557
86.jpg,0.0876162,0.384295,0.528088
87.jpg,0.0969569,0.388099,0.514944
88.jpg,0.142315,0.430428,0.427256
89.jpg,0.0984059,0.387362,0.514232
90.jpg,0.0816511,0.353788,0.564561
91.jpg,0.153633,0.487847,0.35852
92.jpg,0.0987448,0.34995,0.551305
93.jpg,0.175543,0.429296,0.395161
94.jpg,0.228466,0.46965,0.301884
95.jpg,0.111634,0.419855,0.468511
96.jpg,0.734183,0.229938,0.0358795
97.jpg,0.151086,0.403129,0.445785
98.jpg,0.32011,0.575224,0.104666
99.jpg,0.0758519,0.477662,0.446486
100.jpg,0.0953631,0.394587,0.51005
101.jpg,0.0974812,0.381025,0.521494
102.jpg,0.337899,0.496324,0.165778
103.jpg,0.223161,0.472392,0.304446
104.jpg,0.103999,0.387951,0.50805
105.jpg,0.0958178,0.393399,0.510784
106.jpg,0.130368,0.396238,0.473394
107.jpg,0.0880066,0.376911,0.535083
108.jpg,0.105717,0.322886,0.571396
109.jpg,0.0962825,0.392096,0.511621
110.jpg,0.0901454,0.380174,0.529681
111.jpg,0.0983266,0.392636,0.509037
112.jpg,0.0914,0.388516,0.520084
113.jpg,0.113488,0.408607,0.477906
114.jpg,0.0978961,0.399519,0.502584
115.jpg,0.0839325,0.378997,0.53707
116.jpg,0.0977945,0.343947,0.558259
117.jpg,0.169744,0.436895,0.393362
118.jpg,0.0770879,0.376034,0.546878
119.jpg,0.438781,0.299645,0.261575
120.jpg,0.0942863,0.394722,0.510992
121.jpg,0.137781,0.337409,0.52481
122.jpg,0.0882282,0.38459,0.527182
123.jpg,0.300794,0.499983,0.199223
124.jpg,0.0872916,0.386903,0.525805
125.jpg,0.0953072,0.371333,0.53336
126.jpg,0.104301,0.456835,0.438864
127.jpg,0.115628,0.399717,0.484655
128.jpg,0.139863,0.47942,0.380718
129.jpg,0.194222,0.399871,0.405907
130.jpg,0.136266,0.425812,0.437923
131.jpg,0.0908415,0.357192,0.551967
132.jpg,0.084376,0.378167,0.537457
133.jpg,0.122285,0.341402,0.536312
134.jpg,0.108878,0.388824,0.502298
