image_name,Type_1,Type_2,Type_3
0.jpg,0.0827786,0.537918,0.379303
1.jpg,0.0571994,0.59804,0.34476
2.jpg,0.169872,0.583676,0.246452
3.jpg,0.0365346,0.389308,0.574157
4.jpg,0.0535339,0.600387,0.346079
5.jpg,0.16096,0.69807,0.14097
6.jpg,0.171622,0.687814,0.140564
7.jpg,0.0363152,0.359065,0.60462
8.jpg,0.0297262,0.273278,0.696996
9.jpg,0.141355,0.559441,0.299203
10.jpg,0.35088,0.601838,0.0472825
11.jpg,0.281162,0.697795,0.0210428
12.jpg,0.0163439,0.258558,0.725098
13.jpg,0.150351,0.660071,0.189578
14.jpg,0.162744,0.783093,0.0541634
15.jpg,0.0935807,0.673923,0.232496
16.jpg,0.0516592,0.569681,0.37866
17.jpg,0.179744,0.477706,0.342551
18.jpg,0.31872,0.576959,0.104321
19.jpg,0.203659,0.746034,0.0503064
20.jpg,0.388939,0.546895,0.0641659
21.jpg,0.192683,0.745965,0.0613516
22.jpg,0.0576373,0.544785,0.397577
23.jpg,0.0690988,0.509288,0.421613
24.jpg,0.0735583,0.453713,0.472728
25.jpg,0.221776,0.689317,0.0889076
26.jpg,0.187097,0.611468,0.201435
27.jpg,0.0237096,0.300427,0.675863
28.jpg,0.0836198,0.440285,0.476095
29.jpg,0.0630255,0.511279,0.425696
30.jpg,0.165402,0.506737,0.327861
31.jpg,0.188149,0.795324,0.0165271
32.jpg,0.116876,0.708555,0.174569
33.jpg,0.0949464,0.659886,0.245168
34.jpg,0.0643481,0.463797,0.471855
35.jpg,0.0853052,0.358093,0.556602
36.jpg,0.194648,0.747183,0.0581695
37.jpg,0.427054,0.410771,0.162175
38.jpg,0.0399214,0.32693,0.633149
39.jpg,0.0464671,0.317213,0.63632
40.jpg,0.0656062,0.588341,0.346053
41.jpg,0.0406608,0.355037,0.604302
42.jpg,0.0896558,0.574476,0.335869
43.jpg,0.0377072,0.43966,0.522633
44.jpg,0.0856014,0.610546,0.303853
45.jpg,0.0406398,0.418868,0.540492
46.jpg,0.0569528,0.335919,0.607128
47.jpg,0.168132,0.537713,0.294155
48.jpg,0.108839,0.466801,0.42436
49.jpg,0.011053,0.113984,0.874963
50.jpg,0.012525,0.223663,0.763812
51.jpg,0.485344,0.438587,0.0760693
52.jpg,0.0315548,0.339142,0.629304
53.jpg,0.0500014,0.432124,0.517875
54.jpg,0.0677242,0.49824,0.434036
55.jpg,0.0472598,0.454811,0.497929
56.jpg,0.0449088,0.475231,0.47986
57.jpg,0.213955,0.557683,0.228362
58.jpg,0.0806375,0.499057,0.420305
59.jpg,0.356078,0.540675,0.103248
60.jpg,0.140053,0.851726,0.00822045
61.jpg,0.195202,0.535154,0.269645
62.jpg,0.172998,0.823286,0.00371552
63.jpg,0.0424653,0.276232,0.681302
64.jpg,0.536599,0.385075,0.0783253
65.jpg,0.419222,0.506419,0.0743592
66.jpg,0.0742642,0.229338,0.696398
67.jpg,0.0632039,0.296622,0.640174
68.jpg,0.0414955,0.470663,0.487841
69.jpg,0.164098,0.703632,0.13227
70.jpg,0.157676,0.669967,0.172357
71.jpg,0.155164,0.741789,0.103047
72.jpg,0.154665,0.571355,0.27398
73.jpg,0.0427414,0.382744,0.574514
74.jpg,0.0838302,0.614314,0.301856
75.jpg,0.155991,0.672158,0.171851
76.jpg,0.0184665,0.183362,0.798172
77.jpg,0.262458,0.659572,0.0779693
78.jpg,0.0250506,0.25222,0.72273
79.jpg,0.429288,0.510897,0.0598148
80.jpg,0.0812855,0.363129,0.555586
81.jpg,0.354083,0.529021,0.116896
82.jpg,0.140616,0.617781,0.241603
83.jpg,0.0233039,0.28577,0.690926
84.jpg,0.115325,0.57317,0.311505
85.jpg,0.158897,0.598087,0.243016
86.jpg,0.0438311,0.50596,0.450209
