image_name,Type_1,Type_2,Type_3
0.jpg,0.215698,0.445935,0.338367
1.jpg,0.0768313,0.317234,0.605935
2.jpg,0.284988,0.431409,0.283603
3.jpg,0.217932,0.352776,0.429292
4.jpg,0.0690367,0.295531,0.635433
5.jpg,0.149398,0.400978,0.449623
6.jpg,0.142152,0.248374,0.609474
7.jpg,0.184049,0.392358,0.423593
8.jpg,0.215367,0.371347,0.413286
9.jpg,0.300727,0.403875,0.295399
10.jpg,0.142079,0.419556,0.438365
11.jpg,0.126196,0.435655,0.43815
12.jpg,0.0981425,0.307497,0.594361
13.jpg,0.0872918,0.292662,0.620047
14.jpg,0.118264,0.450219,0.431517
15.jpg,0.0596936,0.372044,0.568262
16.jpg,0.0818646,0.243189,0.674946
17.jpg,0.291369,0.402939,0.305692
18.jpg,0.140771,0.380592,0.478638
19.jpg,0.0657853,0.311148,0.623067
20.jpg,0.337954,0.408945,0.253101
21.jpg,0.158701,0.506351,0.334948
22.jpg,0.112507,0.347095,0.540398
23.jpg,0.180799,0.361614,0.457586
24.jpg,0.122683,0.330105,0.547212
25.jpg,0.29035,0.399007,0.310643
26.jpg,0.252126,0.391892,0.355982
27.jpg,0.132036,0.362611,0.505354
28.jpg,0.212742,0.385097,0.402161
29.jpg,0.174488,0.355855,0.469656
30.jpg,0.278325,0.41531,0.306365
31.jpg,0.16734,0.505388,0.327272
32.jpg,0.317233,0.449062,0.233705
33.jpg,0.104417,0.389129,0.506454
34.jpg,0.107625,0.312947,0.579427
35.jpg,0.313035,0.434304,0.252661
36.jpg,0.420403,0.47553,0.104066
37.jpg,0.374286,0.422438,0.203277
38.jpg,0.163646,0.363967,0.472386
39.jpg,0.154684,0.374653,0.470663
40.jpg,0.0141941,0.198132,0.787674
41.jpg,0.0848658,0.309466,0.605668
42.jpg,0.132222,0.497277,0.370501
43.jpg,0.124475,0.282755,0.59277
44.jpg,0.0936138,0.28477,0.621616
45.jpg,0.118285,0.351045,0.530671
46.jpg,0.337934,0.352908,0.309157
47.jpg,0.369774,0.516332,0.113894
48.jpg,0.1588,0.335052,0.506149
49.jpg,0.289494,0.297706,0.4128
50.jpg,0.068216,0.294726,0.637058
51.jpg,0.278449,0.384757,0.336794
52.jpg,0.153174,0.344712,0.502114
53.jpg,0.13163,0.328584,0.539787
54.jpg,0.074643,0.308192,0.617165
55.jpg,0.132332,0.339698,0.52797
56.jpg,0.0567696,0.258483,0.684748
57.jpg,0.309165,0.464887,0.225949
58.jpg,0.0981772,0.266708,0.635115
59.jpg,0.238786,0.411082,0.350132
60.jpg,0.384887,0.445287,0.169826
61.jpg,0.317796,0.488181,0.194023
62.jpg,0.108597,0.258626,0.632777
63.jpg,0.142635,0.343353,0.514012
64.jpg,0.443046,0.333062,0.223892
65.jpg,0.624333,0.326929,0.0487379
66.jpg,0.494142,0.277171,0.228687
67.jpg,0.128252,0.300579,0.57117
68.jpg,0.0871418,0.345059,0.5678
69.jpg,0.359915,0.53787,0.102215
70.jpg,0.130056,0.337652,0.532292
71.jpg,0.162601,0.385749,0.45165
72.jpg,0.450529,0.417653,0.131819
73.jpg,0.0649503,0.222539,0.712511
74.jpg,0.103728,0.247112,0.64916
75.jpg,0.307683,0.584074,0.108242
76.jpg,0.090649,0.216517,0.692834
77.jpg,0.343674,0.450702,0.205624
78.jpg,0.153445,0.354531,0.492024
79.jpg,0.283692,0.436042,0.280267
80.jpg,0.232707,0.397303,0.36999
81.jpg,0.146861,0.319465,0.533674
82.jpg,0.340238,0.43569,0.224072
83.jpg,0.120432,0.366689,0.512879
84.jpg,0.281122,0.466737,0.252141
85.jpg,0.312311,0.368466,0.319224
86.jpg,0.079382,0.280707,0.639911
87.jpg,0.160141,0.375683,0.464176
88.jpg,0.241949,0.417624,0.340427
89.jpg,0.32249,0.460716,0.216794
90.jpg,0.0971543,0.426379,0.476467
91.jpg,0.130214,0.303934,0.565852
92.jpg,0.169867,0.359506,0.470626
93.jpg,0.0637842,0.236084,0.700132
94.jpg,0.352094,0.475308,0.172598
95.jpg,0.103099,0.293337,0.603563
96.jpg,0.0895388,0.349512,0.560949
97.jpg,0.297523,0.397753,0.304724
98.jpg,0.330758,0.58882,0.0804225
99.jpg,0.151352,0.384314,0.464334
100.jpg,0.244147,0.438403,0.31745
101.jpg,0.275443,0.401284,0.323274
102.jpg,0.31023,0.310007,0.379763
103.jpg,0.220839,0.433483,0.345677
104.jpg,0.129224,0.363811,0.506965
105.jpg,0.123887,0.264118,0.611996
106.jpg,0.212228,0.414227,0.373545
107.jpg,0.0948212,0.276798,0.628381
108.jpg,0.110738,0.251829,0.637432
109.jpg,0.175133,0.365951,0.458916
110.jpg,0.193079,0.538048,0.268873
111.jpg,0.134878,0.367369,0.497753
112.jpg,0.0869053,0.276382,0.636712
113.jpg,0.140297,0.340385,0.519317
114.jpg,0.12172,0.314398,0.563882
115.jpg,0.220729,0.468722,0.310548
116.jpg,0.180388,0.270998,0.548614
117.jpg,0.162664,0.25182,0.585515
118.jpg,0.0910817,0.289821,0.619097
119.jpg,0.5187,0.312126,0.169174
120.jpg,0.287722,0.48348,0.228798
121.jpg,0.0792693,0.291748,0.628982
122.jpg,0.0676467,0.265844,0.666509
123.jpg,0.29263,0.450663,0.256708
124.jpg,0.0965566,0.365877,0.537567
125.jpg,0.0872125,0.341832,0.570956
126.jpg,0.0800287,0.327646,0.592326
127.jpg,0.176632,0.306336,0.517032
128.jpg,0.279652,0.470516,0.249833
129.jpg,0.0718014,0.314525,0.613673
130.jpg,0.233003,0.518468,0.248528
131.jpg,0.117389,0.350138,0.532473
132.jpg,0.0437817,0.282944,0.673274
133.jpg,0.0697028,0.208538,0.72176
134.jpg,0.0885461,0.290576,0.620878
135.jpg,0.145574,0.321371,0.533055
136.jpg,0.0546872,0.249179,0.696133
137.jpg,0.115682,0.300249,0.584069
138.jpg,0.413241,0.297072,0.289687
139.jpg,0.237745,0.457975,0.30428
140.jpg,0.0886564,0.340599,0.570744
141.jpg,0.122207,0.294568,0.583225
142.jpg,0.269575,0.433605,0.29682
143.jpg,0.181495,0.452797,0.365708
144.jpg,0.0907463,0.338599,0.570655
145.jpg,0.185246,0.387953,0.426801
146.jpg,0.161543,0.37299,0.465467
147.jpg,0.144318,0.390752,0.464931
148.jpg,0.416525,0.292058,0.291417
149.jpg,0.546471,0.325414,0.128115
150.jpg,0.352737,0.482421,0.164841
151.jpg,0.0872359,0.286826,0.625938
152.jpg,0.0809223,0.264372,0.654706
153.jpg,0.099599,0.286124,0.614277
154.jpg,0.205852,0.352121,0.442027
155.jpg,0.325858,0.431704,0.242438
156.jpg,0.130509,0.255271,0.61422
157.jpg,0.169366,0.400106,0.430528
158.jpg,0.250373,0.333677,0.41595
159.jpg,0.260577,0.42499,0.314433
160.jpg,0.419641,0.440733,0.139627
161.jpg,0.0626937,0.273528,0.663778
162.jpg,0.0961923,0.382857,0.520951
163.jpg,0.255501,0.517441,0.227058
