image_name,Type_1,Type_2,Type_3
0.jpg,0.22899,0.758402,0.0126074
1.jpg,0.0205409,0.19018,0.789279
2.jpg,0.777552,0.221489,0.00095891
3.jpg,0.325594,0.669355,0.00505132
4.jpg,0.00369133,0.467326,0.528983
5.jpg,0.174203,0.809071,0.0167267
6.jpg,0.148543,0.773467,0.0779902
7.jpg,0.115896,0.244515,0.639589
8.jpg,0.106811,0.883585,0.0096042
9.jpg,0.036407,0.562427,0.401166
10.jpg,0.320886,0.677907,0.00120715
11.jpg,0.00134618,0.862922,0.135731
12.jpg,0.061606,0.835618,0.102776
13.jpg,0.0924703,0.594905,0.312624
14.jpg,0.010378,0.653946,0.335676
15.jpg,0.0959037,0.47883,0.425266
16.jpg,0.0111241,0.984044,0.00483157
17.jpg,0.438226,0.53036,0.0314136
18.jpg,0.00557052,0.993254,0.0011755
19.jpg,0.00475983,0.859993,0.135248
20.jpg,0.239421,0.717938,0.0426416
21.jpg,0.325042,0.673928,0.00103056
22.jpg,0.0740034,0.893712,0.0322848
23.jpg,0.0618046,0.274936,0.663259
24.jpg,0.213912,0.70958,0.0765087
25.jpg,0.943757,0.0561345,0.000108427
26.jpg,0.168928,0.771831,0.0592408
27.jpg,0.0179434,0.277281,0.704776
28.jpg,0.30382,0.692296,0.00388358
29.jpg,0.173575,0.532251,0.294173
30.jpg,0.321462,0.595553,0.0829857
31.jpg,0.0645134,0.850211,0.0852759
32.jpg,0.0188321,0.512427,0.468741
33.jpg,0.483386,0.424134,0.0924801
34.jpg,0.0104152,0.965754,0.0238309
35.jpg,0.240851,0.697034,0.0621144
36.jpg,0.237013,0.762741,0.000246328
37.jpg,0.386588,0.510032,0.103379
38.jpg,0.0553344,0.765705,0.17896
39.jpg,0.563206,0.294199,0.142596
40.jpg,0.0147895,0.820849,0.164361
41.jpg,0.0284566,0.929317,0.0422267
42.jpg,0.606533,0.392184,0.00128303
43.jpg,0.0468495,0.357588,0.595562
44.jpg,0.078711,0.913285,0.00800412
45.jpg,0.150992,0.750096,0.0989119
46.jpg,0.118228,0.280401,0.60137
47.jpg,0.421195,0.569556,0.00924904
48.jpg,0.0728062,0.70039,0.226804
49.jpg,0.260998,0.669189,0.0698129
50.jpg,0.0209091,0.800311,0.17878
51.jpg,0.363036,0.605688,0.0312756
52.jpg,0.0277146,0.441699,0.530587
53.jpg,0.00308819,0.31453,0.682381
54.jpg,0.332107,0.362441,0.305452
55.jpg,0.0567723,0.64289,0.300338
56.jpg,0.0149333,0.610325,0.374742
57.jpg,0.604481,0.295961,0.099558
58.jpg,0.015778,0.917003,0.0672186
59.jpg,0.022808,0.365098,0.612094
60.jpg,0.054446,0.943999,0.00155543
61.jpg,0.40883,0.590894,0.000275807
62.jpg,0.0922838,0.775404,0.132313
63.jpg,0.170871,0.650583,0.178545
64.jpg,0.0960312,0.877984,0.025985
65.jpg,0.896319,0.094842,0.00883895
66.jpg,0.00699953,0.0582992,0.934701
67.jpg,0.0524692,0.792679,0.154852
68.jpg,0.0566437,0.925755,0.0176014
69.jpg,0.0105577,0.796761,0.192681
70.jpg,0.144694,0.784849,0.070457
71.jpg,0.117897,0.814723,0.0673798
72.jpg,0.0652883,0.933201,0.00151095
73.jpg,0.0332965,0.218576,0.748127
74.jpg,0.0147756,0.872559,0.112666
75.jpg,0.385146,0.608139,0.00671479
76.jpg,0.0306207,0.166869,0.802511
77.jpg,0.291005,0.708108,0.000886939
78.jpg,0.00339126,0.954376,0.0422327
79.jpg,0.265687,0.729119,0.00519428
80.jpg,0.0511426,0.243404,0.705453
81.jpg,0.179585,0.661532,0.158883
82.jpg,0.0162257,0.898008,0.0857664
83.jpg,0.193436,0.368115,0.43845
84.jpg,0.200306,0.748748,0.0509457
85.jpg,0.506502,0.489532,0.00396555
86.jpg,0.0227153,0.331762,0.645523
87.jpg,0.240942,0.282482,0.476576
88.jpg,0.0992137,0.853374,0.0474118
89.jpg,0.0295806,0.96924,0.00117943
90.jpg,0.033164,0.886517,0.0803192
91.jpg,0.865861,0.133856,0.000283239
92.jpg,0.0133208,0.170831,0.815849
93.jpg,0.131908,0.469986,0.398105
94.jpg,0.852614,0.146991,0.000394505
95.jpg,0.103848,0.879041,0.0171116
96.jpg,0.0536593,0.88314,0.0632008
97.jpg,0.0752529,0.907452,0.017295
98.jpg,0.0367048,0.963271,2.38134e-05
99.jpg,0.166949,0.43528,0.397771
100.jpg,0.817716,0.181921,0.000363127
101.jpg,0.0469813,0.952426,0.000592447
102.jpg,0.0377174,0.745705,0.216578
103.jpg,0.00691885,0.251242,0.74184
104.jpg,0.0155071,0.413218,0.571275
105.jpg,0.0583252,0.435632,0.506043
106.jpg,0.0160573,0.838109,0.145834
107.jpg,0.0195852,0.838258,0.142157
108.jpg,0.169715,0.754839,0.0754464
109.jpg,0.049678,0.781766,0.168556
110.jpg,0.0336903,0.966162,0.000147821
111.jpg,0.394012,0.262778,0.34321
112.jpg,0.00414139,0.0225675,0.973291
113.jpg,0.0419314,0.559975,0.398093
114.jpg,0.0928845,0.386316,0.5208
115.jpg,0.14629,0.672847,0.180863
116.jpg,0.11642,0.471457,0.412124
117.jpg,0.512469,0.352738,0.134793
118.jpg,0.0258167,0.332209,0.641974
119.jpg,0.101194,0.866774,0.0320323
120.jpg,0.33276,0.664641,0.0025992
121.jpg,0.0167193,0.374223,0.609058
122.jpg,0.0498467,0.728478,0.221675
123.jpg,0.245338,0.587043,0.167618
124.jpg,0.0223423,0.20889,0.768767
125.jpg,0.0902078,0.848569,0.0612231
126.jpg,0.00393238,0.971944,0.0241239
127.jpg,0.769012,0.226924,0.00406427
128.jpg,0.0856738,0.912986,0.0013406
129.jpg,0.0306549,0.809523,0.159822
130.jpg,0.0952953,0.817564,0.0871406
131.jpg,0.0124356,0.462533,0.525032
132.jpg,0.106366,0.630253,0.263381
133.jpg,0.0113789,0.198749,0.789872
