image_name,Type_1,Type_2,Type_3
0.jpg,0.132508,0.460447,0.407044
1.jpg,0.251989,0.7344,0.0136105
2.jpg,0.201655,0.736664,0.0616809
3.jpg,0.133133,0.468465,0.398402
4.jpg,0.39807,0.552265,0.0496651
5.jpg,0.948256,0.051719,2.53274e-05
6.jpg,0.228647,0.738245,0.0331082
7.jpg,0.160337,0.806886,0.0327775
8.jpg,0.127506,0.485411,0.387083
9.jpg,0.648624,0.351122,0.000254215
10.jpg,0.0892654,0.905842,0.00489288
11.jpg,0.995957,0.00404292,2.88001e-10
12.jpg,0.192242,0.718091,0.0896678
13.jpg,0.398563,0.596658,0.0047784
14.jpg,0.241113,0.641405,0.117482
15.jpg,0.732762,0.267238,1.2421e-07
16.jpg,0.150029,0.836033,0.0139378
17.jpg,0.131676,0.470766,0.397558
18.jpg,0.12654,0.858954,0.0145065
19.jpg,0.993682,0.00631259,5.72222e-06
20.jpg,0.39841,0.60142,0.000170807
21.jpg,0.422952,0.56695,0.0100983
22.jpg,0.172932,0.818191,0.00887684
23.jpg,0.123854,0.549411,0.326735
24.jpg,0.0623154,0.85784,0.0798445
25.jpg,0.376162,0.547391,0.0764468
26.jpg,0.550135,0.448352,0.0015131
27.jpg,0.152149,0.489532,0.358319
28.jpg,0.389453,0.576048,0.0344993
29.jpg,0.135277,0.491782,0.372941
30.jpg,0.249454,0.521767,0.228779
31.jpg,0.977445,0.0223462,0.000208743
32.jpg,0.988256,0.0117329,1.08271e-05
33.jpg,0.196524,0.791738,0.0117379
34.jpg,0.268943,0.58987,0.141187
35.jpg,0.108664,0.785983,0.105353
36.jpg,0.432014,0.565848,0.00213819
37.jpg,0.147924,0.545608,0.306469
38.jpg,0.151868,0.799894,0.0482386
39.jpg,0.521827,0.458641,0.0195322
40.jpg,0.999927,7.31873e-05,1.10557e-10
41.jpg,0.431338,0.562691,0.00597115
42.jpg,0.13814,0.853088,0.0087722
43.jpg,0.17193,0.54892,0.27915
44.jpg,0.111055,0.720762,0.168183
45.jpg,0.275813,0.57976,0.144427
46.jpg,0.112308,0.523531,0.364161
47.jpg,0.179113,0.766855,0.0540326
48.jpg,0.106872,0.594074,0.299055
49.jpg,0.140965,0.462714,0.396321
50.jpg,0.504548,0.495034,0.000418373
51.jpg,0.0965012,0.894398,0.00910033
52.jpg,0.184227,0.64797,0.167804
53.jpg,0.28563,0.710154,0.00421614
54.jpg,0.202797,0.773913,0.0232905
55.jpg,0.0996589,0.431636,0.468705
56.jpg,0.998063,0.00193704,1.65244e-07
57.jpg,0.127023,0.493152,0.379825
58.jpg,0.243082,0.665227,0.0916909
59.jpg,0.708674,0.291306,1.96996e-05
60.jpg,0.135394,0.719036,0.14557
61.jpg,0.142696,0.678545,0.178759
62.jpg,0.987271,0.0127268,2.20627e-06
63.jpg,0.17285,0.743144,0.0840062
64.jpg,0.165926,0.825948,0.00812569
65.jpg,0.229086,0.589801,0.181113
66.jpg,0.169577,0.468731,0.361692
67.jpg,0.167976,0.73489,0.0971337
68.jpg,0.435533,0.515778,0.0486884
69.jpg,0.092884,0.824039,0.0830775
70.jpg,0.264973,0.621585,0.113442
71.jpg,0.644992,0.355007,9.30983e-07
72.jpg,0.186628,0.549118,0.264253
73.jpg,0.345113,0.529006,0.12588
74.jpg,0.780343,0.21959,6.68614e-05
75.jpg,0.282415,0.71462,0.00296525
76.jpg,0.119874,0.449572,0.430555
77.jpg,0.169975,0.657253,0.172772
78.jpg,0.257737,0.73472,0.00754333
79.jpg,0.890943,0.108612,0.000445199
80.jpg,0.179784,0.695133,0.125082
81.jpg,0.308204,0.628392,0.0634048
82.jpg,0.232135,0.688044,0.0798213
83.jpg,0.107045,0.593308,0.299647
84.jpg,0.113283,0.826982,0.0597347
85.jpg,0.108702,0.70469,0.186608
86.jpg,0.940962,0.0568886,0.00214946
87.jpg,0.127752,0.475062,0.397186
88.jpg,0.634441,0.356247,0.0093112
89.jpg,0.133453,0.56151,0.305036
90.jpg,0.0943939,0.904783,0.000822777
91.jpg,0.182618,0.776178,0.0412037
92.jpg,0.176925,0.784929,0.0381462
93.jpg,0.226429,0.707812,0.0657598
94.jpg,0.33554,0.501499,0.162961
95.jpg,0.568253,0.394159,0.0375876
96.jpg,0.218694,0.780696,0.000610621
97.jpg,0.138866,0.479743,0.381391
98.jpg,0.119289,0.559223,0.321488
99.jpg,0.333027,0.666735,0.000238749
100.jpg,0.936986,0.0629741,3.95607e-05
101.jpg,0.340793,0.641769,0.0174382
102.jpg,0.851746,0.129408,0.0188463
103.jpg,0.174421,0.737523,0.088056
104.jpg,0.229093,0.72061,0.0502973
105.jpg,0.125847,0.508634,0.365519
106.jpg,0.106327,0.748828,0.144846
107.jpg,0.842431,0.155656,0.00191295
108.jpg,0.179665,0.592036,0.228299
109.jpg,0.113311,0.470425,0.416264
110.jpg,0.167558,0.641787,0.190655
111.jpg,0.275017,0.681985,0.0429978
112.jpg,0.83884,0.161031,0.000129138
113.jpg,0.158019,0.753084,0.0888965
114.jpg,0.123388,0.481041,0.395571
115.jpg,0.192443,0.681193,0.126364
116.jpg,0.890003,0.106788,0.0032082
117.jpg,0.920788,0.076662,0.00254952
118.jpg,0.264205,0.610454,0.125341
119.jpg,0.210937,0.484699,0.304364
120.jpg,0.114278,0.835081,0.0506408
121.jpg,0.312017,0.536131,0.151852
122.jpg,0.188291,0.773694,0.0380156
123.jpg,0.327498,0.655426,0.0170758
124.jpg,0.372194,0.605204,0.022602
125.jpg,0.0148444,0.959859,0.0252963
126.jpg,0.196795,0.76811,0.0350957
127.jpg,0.304299,0.482971,0.212729
128.jpg,0.169603,0.741508,0.0888892
129.jpg,0.204611,0.768191,0.0271984
130.jpg,0.170143,0.567294,0.262563
131.jpg,0.17702,0.810576,0.0124032
132.jpg,0.973622,0.0263692,8.337e-06
133.jpg,0.167556,0.537946,0.294498
134.jpg,0.886705,0.112357,0.000938166
135.jpg,0.140992,0.52618,0.332827
136.jpg,0.28839,0.709858,0.00175281
137.jpg,0.1412,0.738527,0.120273
138.jpg,0.143821,0.457203,0.398976
139.jpg,0.156574,0.635989,0.207437
140.jpg,0.460518,0.456012,0.0834704
141.jpg,0.266359,0.698937,0.0347046
142.jpg,0.265692,0.734102,0.000205872
143.jpg,0.840431,0.154767,0.00480214
144.jpg,0.328572,0.636098,0.0353297
145.jpg,0.212568,0.715445,0.0719879
146.jpg,0.780107,0.199963,0.0199302
147.jpg,0.739885,0.251774,0.00834122
148.jpg,0.176044,0.471609,0.352347
149.jpg,0.190145,0.505304,0.304551
150.jpg,0.193706,0.686544,0.11975
151.jpg,0.706791,0.275686,0.0175237
152.jpg,0.724993,0.274746,0.000261469
153.jpg,0.13388,0.839504,0.0266155
154.jpg,0.160153,0.679131,0.160716
155.jpg,0.153535,0.816621,0.0298441
156.jpg,0.123225,0.466689,0.410087
157.jpg,0.413273,0.569765,0.016962
158.jpg,0.100623,0.681445,0.217932
159.jpg,0.144691,0.520101,0.335207
160.jpg,0.595748,0.396438,0.00781375
161.jpg,0.127384,0.863932,0.00868427
162.jpg,0.255893,0.741335,0.00277226
163.jpg,0.0661908,0.92981,0.00399936
164.jpg,0.213935,0.506684,0.279381
165.jpg,0.971095,0.0289045,2.81729e-07
166.jpg,0.118994,0.336294,0.544712
167.jpg,0.268892,0.709305,0.0218027
168.jpg,0.167545,0.496779,0.335676
169.jpg,0.996631,0.00336849,4.89906e-07
170.jpg,0.146935,0.460964,0.392101
171.jpg,0.948975,0.0507224,0.000302389
172.jpg,0.186949,0.601741,0.21131
173.jpg,0.429098,0.538264,0.0326382
174.jpg,0.495919,0.492434,0.0116469
175.jpg,0.99999,1.00855e-05,2.10727e-11
176.jpg,0.997441,0.00255836,2.29324e-07
177.jpg,0.603234,0.390998,0.00576789
178.jpg,0.997142,0.00285453,3.57419e-06
179.jpg,0.164829,0.472947,0.362224
180.jpg,0.112175,0.550392,0.337433
181.jpg,0.210181,0.77432,0.015499
182.jpg,0.316977,0.673433,0.0095902
183.jpg,0.141096,0.485834,0.37307
184.jpg,0.174108,0.809767,0.0161257
185.jpg,0.433536,0.515907,0.0505577
186.jpg,0.14844,0.520187,0.331373
187.jpg,0.282104,0.63333,0.0845663
188.jpg,0.21238,0.787488,0.000132356
189.jpg,0.692569,0.307316,0.000114832
190.jpg,0.924377,0.0753609,0.000262024
191.jpg,0.784045,0.185245,0.0307099
192.jpg,0.150481,0.48669,0.362829
193.jpg,0.151274,0.527417,0.321309
194.jpg,0.498012,0.499973,0.00201436
195.jpg,0.25978,0.636353,0.103868
196.jpg,0.175844,0.759522,0.0646347
197.jpg,0.224587,0.566554,0.20886
198.jpg,0.246192,0.61843,0.135378
199.jpg,0.121644,0.475992,0.402363
200.jpg,0.320189,0.675322,0.00448948
201.jpg,0.113883,0.677501,0.208616
202.jpg,0.161457,0.819364,0.0191795
203.jpg,0.13024,0.506142,0.363619
204.jpg,0.0362292,0.947801,0.0159701
205.jpg,0.552106,0.411509,0.0363849
206.jpg,0.116023,0.536608,0.34737
207.jpg,0.0788367,0.804181,0.116982
208.jpg,0.547052,0.452258,0.000690316
209.jpg,0.132543,0.443695,0.423763
210.jpg,0.203828,0.777333,0.0188385
211.jpg,0.289051,0.70514,0.00580908
212.jpg,0.487528,0.508981,0.00349055
213.jpg,0.113641,0.711945,0.174414
214.jpg,0.221581,0.653419,0.125
215.jpg,0.435601,0.522897,0.041502
216.jpg,0.0632373,0.930445,0.00631795
217.jpg,0.0548629,0.776705,0.168432
218.jpg,0.26088,0.676601,0.0625192
219.jpg,0.135551,0.53065,0.3338
220.jpg,0.130205,0.595904,0.27389
221.jpg,0.105086,0.696043,0.198871
222.jpg,0.802488,0.195182,0.00232989
223.jpg,0.921714,0.0776457,0.000640632
224.jpg,0.249097,0.61982,0.131082
225.jpg,0.270862,0.689883,0.0392548
226.jpg,0.136957,0.554283,0.308761
227.jpg,0.99236,0.00762261,1.73302e-05
228.jpg,0.14723,0.583566,0.269204
229.jpg,0.133597,0.489763,0.37664
230.jpg,0.656291,0.313564,0.0301449
231.jpg,0.579312,0.351317,0.0693705
232.jpg,0.171305,0.503626,0.325068
233.jpg,0.64867,0.34919,0.00214004
234.jpg,0.928298,0.0693118,0.00239032
235.jpg,0.160843,0.69425,0.144907
236.jpg,0.555611,0.437367,0.00702176
237.jpg,0.61978,0.379841,0.000378483
238.jpg,0.229707,0.673815,0.0964776
239.jpg,0.14149,0.623649,0.234861
240.jpg,0.284904,0.712588,0.0025079
241.jpg,0.237923,0.664627,0.0974495
242.jpg,0.138047,0.520974,0.340979
243.jpg,0.752363,0.244329,0.003308
244.jpg,0.179485,0.633367,0.187148
245.jpg,0.292041,0.67723,0.030729
246.jpg,0.119275,0.536736,0.343989
247.jpg,0.103557,0.412905,0.483538
248.jpg,0.562477,0.436828,0.000695788
249.jpg,0.62795,0.370905,0.00114543
250.jpg,0.99655,0.00344974,3.03662e-07
251.jpg,0.566741,0.431485,0.00177371
252.jpg,0.151436,0.714226,0.134338
253.jpg,0.989414,0.0104606,0.000125116
254.jpg,0.112283,0.820422,0.0672952
255.jpg,0.139182,0.632421,0.228397
256.jpg,0.158724,0.815931,0.0253456
257.jpg,0.501746,0.465257,0.0329971
258.jpg,0.143189,0.521306,0.335506
259.jpg,0.117876,0.526976,0.355148
260.jpg,0.0982912,0.864656,0.0370531
261.jpg,0.493149,0.408786,0.0980648
262.jpg,0.980564,0.0194356,1.5321e-09
263.jpg,0.115431,0.683847,0.200722
264.jpg,0.0641601,0.933932,0.00190748
265.jpg,0.120158,0.479288,0.400554
266.jpg,0.14519,0.764469,0.0903408
267.jpg,0.643859,0.346523,0.00961812
268.jpg,0.118294,0.588937,0.292769
269.jpg,0.139237,0.6951,0.165663
270.jpg,0.725875,0.265776,0.00834897
271.jpg,0.129842,0.457624,0.412534
272.jpg,0.49783,0.493784,0.00838576
273.jpg,0.289636,0.644252,0.0661121
274.jpg,0.89353,0.105581,0.000888195
275.jpg,0.226269,0.733222,0.0405084
276.jpg,0.135145,0.463256,0.401599
277.jpg,0.234073,0.507992,0.257936
278.jpg,0.695885,0.303864,0.000251665
279.jpg,0.235283,0.758415,0.00630157
280.jpg,0.234753,0.602864,0.162383
281.jpg,0.149158,0.794881,0.0559607
282.jpg,0.124701,0.77384,0.101459
283.jpg,0.11662,0.693503,0.189878
284.jpg,0.130112,0.468857,0.401031
285.jpg,0.221258,0.598635,0.180107
286.jpg,0.130783,0.57144,0.297777
287.jpg,0.150399,0.815808,0.0337936
288.jpg,0.0943401,0.845745,0.059915
289.jpg,0.447459,0.551557,0.000984686
290.jpg,0.224049,0.7672,0.00875043
291.jpg,0.140778,0.494903,0.364318
292.jpg,0.998732,0.00126652,1.25844e-06
293.jpg,0.404969,0.524379,0.0706522
294.jpg,0.665813,0.320091,0.0140962
295.jpg,0.135382,0.846568,0.0180505
296.jpg,0.849695,0.148059,0.00224518
297.jpg,0.11841,0.603577,0.278013
298.jpg,0.219076,0.683096,0.0978277
299.jpg,0.827551,0.170289,0.00215948
300.jpg,0.590001,0.40222,0.00777939
301.jpg,0.163909,0.594656,0.241436
302.jpg,0.124798,0.458974,0.416228
303.jpg,0.922575,0.0774246,1.3972e-10
304.jpg,0.787223,0.212777,3.87139e-07
305.jpg,0.137123,0.463881,0.398996
306.jpg,0.230867,0.751806,0.0173268
307.jpg,0.217479,0.778722,0.00379862
308.jpg,0.198199,0.572524,0.229276
309.jpg,0.0898079,0.893149,0.0170429
310.jpg,0.172489,0.705827,0.121684
311.jpg,0.286756,0.692479,0.0207648
312.jpg,0.306637,0.662962,0.0304005
313.jpg,0.146558,0.453991,0.399451
314.jpg,0.204169,0.689229,0.106602
315.jpg,0.822515,0.177438,4.64042e-05
316.jpg,0.148721,0.479811,0.371469
317.jpg,0.22348,0.714792,0.0617281
318.jpg,0.447178,0.551563,0.0012582
319.jpg,0.504146,0.47323,0.0226241
320.jpg,0.338113,0.635031,0.0268554
321.jpg,0.378513,0.534336,0.087151
322.jpg,0.239733,0.731777,0.0284899
323.jpg,0.113237,0.820349,0.0664135
324.jpg,0.154445,0.510207,0.335348
325.jpg,0.811661,0.188339,5.30285e-09
326.jpg,0.153514,0.839971,0.00651506
327.jpg,0.14834,0.462816,0.388843
328.jpg,0.178273,0.66254,0.159187
329.jpg,0.329703,0.665814,0.00448362
330.jpg,0.0320633,0.896738,0.0711985
331.jpg,0.549433,0.450505,6.20366e-05
332.jpg,0.212896,0.660216,0.126888
333.jpg,0.608979,0.390632,0.000389437
334.jpg,0.145399,0.579963,0.274638
335.jpg,0.71996,0.267872,0.012168
